id,fecha_senal,ticker,apertura_estimada_pct,retorno_real_pct,acierto_direccion,error_pp,verificado_en,gap_pct,acierto_gap,error_gap_pp,modelo_version,legacy
71,2026-07-22,8035.T,0.26,-0.0152,0,0.2752,2026-07-23T23:19:39.655758+00:00,0.7732,1,0.5132,4.6.0,0
72,2026-07-22,IFX.DE,0.03,-6.1748,0,6.2048,2026-07-24T22:15:21.517120+00:00,-4.1547,0,4.1847,4.6.0,0
73,2026-07-23,000660.KS,-0.43,-8.3377,1,7.9077,2026-07-24T22:15:22.218679+00:00,-1.3028,1,0.8728,4.6.0,0
74,2026-07-23,005930.KS,-0.33,-7.5926,1,7.2626,2026-07-24T22:15:22.937655+00:00,-1.4815,1,1.1515,4.6.0,0
75,2026-07-23,2330.TW,-0.17,-2.2869,1,2.1169,2026-07-24T22:15:23.809430+00:00,-2.079,1,1.909,4.6.0,0
76,2026-07-23,3436.T,-0.35,-3.2318,1,2.8818,2026-07-24T22:15:24.659615+00:00,-1.8697,1,1.5197,4.6.0,0
77,2026-07-23,4063.T,-0.16,-3.8451,1,3.6851,2026-07-24T22:15:25.484598+00:00,-1.9656,1,1.8056,4.6.0,0
78,2026-07-23,6857.T,-0.34,-6.0227,1,5.6827,2026-07-24T22:15:26.213076+00:00,-2.2727,1,1.9327,4.6.0,0
79,2026-07-23,8035.T,-0.31,-4.9886,1,4.6786,2026-07-24T22:15:27.078100+00:00,-1.5163,1,1.2063,4.6.0,0
80,2026-07-23,IFX.DE,-0.02,-1.6491,1,1.6291,2026-07-26T02:30:26.986507+00:00,-1.6644,1,1.6444,4.6.0,0
81,2026-07-24,000660.KS,-3.7,3.2405,0,6.9405,2026-07-27T22:17:17.891919+00:00,3.1268,0,6.8268,4.6.0,0
82,2026-07-24,2330.TW,-1.46,0.0,0,1.46,2026-07-27T22:33:10.996719+00:00,-0.8511,1,0.6089,4.6.0,0
83,2026-07-24,3436.T,-2.89,3.8366,0,6.7266,2026-07-27T22:33:11.745892+00:00,3.8642,0,6.7542,4.6.0,0
84,2026-07-24,4063.T,-1.41,-8.296,1,6.886,2026-07-27T22:33:12.570529+00:00,-3.4169,1,2.0069,4.6.0,0
85,2026-07-24,6857.T,-2.85,-1.952,1,0.898,2026-07-27T22:33:13.351582+00:00,1.5719,0,4.4219,4.6.0,0
86,2026-07-24,8035.T,-2.6,0.2234,0,2.8234,2026-07-27T22:33:14.127003+00:00,1.5959,0,4.1959,4.6.0,0
87,2026-07-24,005930.KS,-2.94,1.8036,0,4.7436,2026-07-28T22:30:55.150650+00:00,3.006,0,5.946,4.6.0,0
88,2026-07-24,IFX.DE,-0.35,-4.5335,1,4.1835,2026-07-28T22:30:55.985888+00:00,1.0868,0,1.4368,4.6.0,0
89,2026-07-27,000660.KS,-1.83,-14.6476,1,12.8176,2026-07-28T22:30:56.683614+00:00,-8.4802,1,6.6502,4.6.0,0
90,2026-07-27,005930.KS,-1.47,-13.3858,1,11.9158,2026-07-28T22:30:57.333492+00:00,-6.1024,1,4.6324,4.6.0,0
91,2026-07-27,2330.TW,-0.76,-2.9787,1,2.2187,2026-07-28T22:30:58.035076+00:00,-3.4043,1,2.6443,4.6.0,0
92,2026-07-27,3436.T,-1.45,-16.5338,1,15.0838,2026-07-28T22:30:58.703213+00:00,-9.9947,1,8.5447,4.6.0,0
93,2026-07-27,4063.T,-0.79,-4.4582,1,3.6682,2026-07-28T22:30:59.431446+00:00,-2.3755,1,1.5855,4.6.0,0
94,2026-07-27,6857.T,-1.46,-10.1128,1,8.6528,2026-07-28T22:31:00.745860+00:00,-6.6949,1,5.2349,4.6.0,0
95,2026-07-27,8035.T,-1.32,-10.9554,1,9.6354,2026-07-28T22:31:01.399910+00:00,-9.9841,1,8.6641,4.6.0,0
96,2026-07-27,IFX.DE,-0.18,-6.0498,1,5.8698,2026-07-30T01:23:51.482468+00:00,-2.0654,1,1.8854,4.6.0,0
97,2026-07-28,000660.KS,-3.76,-9.6129,1,5.8529,2026-07-30T01:23:53.790122+00:00,1.0968,0,4.8568,4.6.0,0
98,2026-07-28,005930.KS,-3.0,-5.2273,1,2.2273,2026-07-30T01:23:54.773330+00:00,2.9545,0,5.9545,4.6.0,0
99,2026-07-28,2330.TW,-1.54,-3.5088,1,1.9688,2026-07-30T01:23:55.627087+00:00,-0.8772,1,0.6628,4.6.0,0
100,2026-07-28,3436.T,-3.05,-6.0987,1,3.0487,2026-07-30T01:23:56.350417+00:00,0.0318,0,3.0818,4.6.0,0
101,2026-07-28,4063.T,-1.63,-3.0995,1,1.4695,2026-07-30T01:23:57.059885+00:00,-0.6301,1,0.9999,4.6.0,0
102,2026-07-28,6857.T,-2.99,-1.2152,1,1.7748,2026-07-30T01:23:57.892028+00:00,1.9208,0,4.9108,4.6.0,0
103,2026-07-28,8035.T,-2.73,-10.5866,1,7.8566,2026-07-30T01:23:58.728568+00:00,-3.5765,1,0.8465,4.6.0,0
104,2026-07-28,IFX.DE,-0.45,-5.695,1,5.245,2026-07-30T22:15:31.990093+00:00,-1.731,1,1.281,4.6.0,0
105,2026-07-29,000660.KS,-4.59,29.9546,0,34.5446,2026-07-31T23:40:48.960157+00:00,28.3661,0,32.9561,4.6.0,0
106,2026-07-29,005930.KS,-3.63,26.8116,0,30.4416,2026-07-31T23:40:49.673296+00:00,24.1546,0,27.7846,4.6.0,0
107,2026-07-29,2330.TW,-1.87,9.9773,0,11.8473,2026-07-31T23:40:50.356725+00:00,6.576,0,8.446,4.6.0,0
108,2026-07-29,3436.T,-3.68,17.5214,0,21.2014,2026-07-31T23:40:51.148610+00:00,17.5214,0,21.2014,4.6.0,0
109,2026-07-29,4063.T,-1.99,0.7644,0,2.7544,2026-07-31T23:40:51.918330+00:00,2.7971,0,4.7871,4.6.0,0
110,2026-07-29,6857.T,-3.5,16.3415,0,19.8415,2026-07-31T23:40:52.615676+00:00,16.4847,0,19.9847,4.6.0,0
111,2026-07-29,8035.T,-3.38,6.2404,0,9.6204,2026-07-31T23:40:53.392056+00:00,13.3997,0,16.7797,4.6.0,0
112,2026-07-29,IFX.DE,-0.58,9.1593,0,9.7393,2026-07-31T23:40:54.050390+00:00,-0.1468,1,0.4332,4.6.0,0
113,2026-07-30,000660.KS,6.91,29.9546,1,23.0446,2026-07-31T23:40:54.777019+00:00,28.3661,1,21.4561,4.6.0,0
114,2026-07-30,005930.KS,5.28,26.8116,1,21.5316,2026-07-31T23:40:55.470010+00:00,24.1546,1,18.8746,4.6.0,0
115,2026-07-30,2330.TW,2.8,9.9773,1,7.1773,2026-07-31T23:40:56.133970+00:00,6.576,1,3.776,4.6.0,0
116,2026-07-30,3436.T,5.59,17.5214,1,11.9314,2026-07-31T23:40:56.816716+00:00,17.5214,1,11.9314,4.6.0,0
117,2026-07-30,4063.T,2.85,0.7644,1,2.0856,2026-07-31T23:40:57.544384+00:00,2.7971,1,0.0529,4.6.0,0
118,2026-07-30,6857.T,4.68,16.3415,1,11.6615,2026-07-31T23:40:58.207491+00:00,16.4847,1,11.8047,4.6.0,0
119,2026-07-30,8035.T,4.83,6.2404,1,1.4104,2026-07-31T23:40:58.942906+00:00,13.3997,1,8.5697,4.6.0,0
120,2026-07-30,IFX.DE,1.09,3.6993,1,2.6093,2026-08-04T03:44:46.649311+00:00,7.6173,1,6.5273,4.6.0,0
121,2026-07-31,000660.KS,0.07,-8.7893,0,8.8593,2026-08-04T03:44:48.146675+00:00,-4.4237,0,4.4937,4.6.0,0
122,2026-07-31,005930.KS,0.06,-8.7619,0,8.8219,2026-08-04T03:44:48.576615+00:00,-5.5238,0,5.5838,4.6.0,0
123,2026-07-31,2330.TW,0.03,-2.268,0,2.298,2026-08-04T03:44:49.083772+00:00,-1.4433,0,1.4733,4.6.0,0
124,2026-07-31,3436.T,0.06,2.9789,1,2.9189,2026-08-04T03:44:49.563587+00:00,-0.2383,0,0.2983,4.6.0,0
125,2026-07-31,4063.T,0.03,0.7759,1,0.7459,2026-08-04T03:44:49.997866+00:00,1.7241,1,1.6941,4.6.0,0
126,2026-07-31,8035.T,0.04,-0.9189,0,0.9589,2026-08-04T03:58:39.476403+00:00,-2.8829,0,2.9229,4.6.0,0
127,2026-07-31,6857.T,0.05,-3.2923,0,3.3423,2026-08-04T22:49:54.158192+00:00,-2.1538,0,2.2038,4.6.0,0
128,2026-07-31,IFX.DE,0.01,-0.3243,0,0.3343,2026-08-04T22:49:54.612009+00:00,2.8053,1,2.7953,4.6.0,0
129,2026-08-03,2330.TW,0.4,3.6638,1,3.2638,2026-08-06T01:39:00.225403+00:00,2.8017,1,2.4017,4.6.0,0
130,2026-08-03,3436.T,0.82,5.952,1,5.132,2026-08-06T01:39:00.915993+00:00,6.5444,1,5.7244,4.6.0,0
131,2026-08-03,4063.T,0.37,2.9397,1,2.5697,2026-08-06T01:39:01.380857+00:00,0.2839,1,0.0861,4.6.0,0
132,2026-08-03,IFX.DE,0.12,3.6603,1,3.5403,2026-08-06T01:39:01.808903+00:00,3.335,1,3.215,4.6.0,0
133,2026-08-04,000660.KS,6.52,5.7705,1,0.7495,2026-08-06T01:39:02.335775+00:00,7.3557,1,0.8357,4.6.0,0
134,2026-08-04,005930.KS,5.14,2.5,1,2.64,2026-08-06T01:39:02.916159+00:00,5.8333,1,0.6933,4.6.0,0
135,2026-08-04,2330.TW,2.48,3.6638,1,1.1838,2026-08-06T01:39:03.424233+00:00,2.8017,1,0.3217,4.6.0,0
136,2026-08-04,3436.T,5.06,5.952,1,0.892,2026-08-06T01:39:03.918891+00:00,6.5444,1,1.4844,4.6.0,0
137,2026-08-04,4063.T,2.3,2.9397,1,0.6397,2026-08-06T01:39:04.434986+00:00,0.2839,1,2.0161,4.6.0,0
138,2026-08-04,6857.T,4.14,8.7742,1,4.6342,2026-08-06T01:39:04.917575+00:00,4.8387,1,0.6987,4.6.0,0
139,2026-08-04,8035.T,4.19,3.2628,1,0.9272,2026-08-06T01:39:05.398597+00:00,4.0564,1,0.1336,4.6.0,0
140,2026-08-04,IFX.DE,0.75,-5.7125,0,6.4625,2026-08-06T23:08:52.863621+00:00,0.9887,1,0.2387,4.6.0,0
141,2026-08-05,000660.KS,-1.38,-4.8829,1,3.5029,2026-08-07T22:22:01.020761+00:00,1.7391,0,3.1191,4.6.0,0
142,2026-08-05,005930.KS,-1.08,0.2169,0,1.2969,2026-08-07T22:22:01.572056+00:00,1.9523,0,3.0323,4.6.0,0
143,2026-08-05,2330.TW,-0.54,0.2114,0,0.7514,2026-08-07T22:22:03.216791+00:00,1.0571,0,1.5971,4.6.0,0
144,2026-08-05,3436.T,-1.08,-2.088,1,1.008,2026-08-07T22:22:03.731081+00:00,4.5429,0,5.6229,4.6.0,0
145,2026-08-05,4063.T,-0.5,-0.827,1,0.327,2026-08-07T22:22:04.147128+00:00,0.5351,0,1.0351,4.6.0,0
146,2026-08-05,6857.T,-0.91,-2.2472,1,1.3372,2026-08-07T22:22:04.616127+00:00,-0.0607,1,0.8493,4.6.0,0
147,2026-08-05,8035.T,-0.89,-1.5001,1,0.6101,2026-08-07T22:22:05.136499+00:00,1.8073,0,2.6973,4.6.0,0
148,2026-08-05,IFX.DE,-0.16,0.3995,0,0.5595,2026-08-07T22:22:05.645362+00:00,-0.1332,1,0.0268,4.6.0,0
149,2026-08-07,000660.KS,2.56,-0.1406,0,2.7006,2026-08-10T23:45:42.446394+00:00,1.4768,1,1.0832,4.6.0,0
150,2026-08-07,005930.KS,1.99,-0.4329,0,2.4229,2026-08-10T23:45:43.104212+00:00,2.1645,1,0.1745,4.6.0,0
151,2026-08-07,2330.TW,0.99,0.4219,1,0.5681,2026-08-10T23:45:43.472093+00:00,0.8439,1,0.1461,4.6.0,0
152,2026-08-07,3436.T,2.01,0.4899,1,1.5201,2026-08-10T23:45:43.848499+00:00,1.4121,1,0.5979,4.6.0,0
153,2026-08-07,4063.T,0.87,2.7796,1,1.9096,2026-08-10T23:45:44.334383+00:00,1.7659,1,0.8959,4.6.0,0
154,2026-08-07,6857.T,1.71,6.4306,1,4.7206,2026-08-10T23:45:44.778896+00:00,2.1746,1,0.4646,4.6.0,0
155,2026-08-07,8035.T,1.66,4.1284,1,2.4684,2026-08-10T23:45:45.233142+00:00,2.3853,1,0.7253,4.6.0,0
156,2026-08-07,IFX.DE,0.24,0.7249,1,0.4849,2026-08-11T22:17:29.842408+00:00,1.482,1,1.242,4.6.0,0
157,2026-08-10,000660.KS,-2.94,0.3521,0,3.2921,2026-08-11T22:17:30.535457+00:00,-1.0563,1,1.8837,4.6.0,0
158,2026-08-10,005930.KS,-2.28,4.1304,0,6.4104,2026-08-11T22:17:31.100096+00:00,-0.2174,1,2.0626,4.6.0,0
159,2026-08-10,2330.TW,-1.14,0.6303,0,1.7703,2026-08-11T22:17:31.620810+00:00,0.4202,0,1.5602,4.6.0,0
160,2026-08-10,3436.T,-2.3,4.5885,0,6.8885,2026-08-12T22:29:57.853278+00:00,0.0287,0,2.3287,4.6.0,0
161,2026-08-10,4063.T,-1.01,1.9726,0,2.9826,2026-08-12T22:29:58.292708+00:00,0.7,0,1.71,4.6.0,0
162,2026-08-10,6857.T,-1.99,0.8465,0,2.8365,2026-08-12T22:29:58.744499+00:00,-0.5254,1,1.4646,4.6.0,0
163,2026-08-10,8035.T,-1.92,2.6079,0,4.5279,2026-08-12T22:29:59.230692+00:00,-0.7048,1,1.2152,4.6.0,0
164,2026-08-10,IFX.DE,-0.27,0.5118,0,0.7818,2026-08-12T22:29:59.682100+00:00,-0.8476,1,0.5776,4.6.0,0
165,2026-08-11,000660.KS,0.87,5.5439,1,4.6739,2026-08-12T22:30:00.110387+00:00,2.1754,1,1.3054,4.6.0,0
166,2026-08-11,005930.KS,0.66,6.6806,1,6.0206,2026-08-12T22:30:00.512111+00:00,1.6701,1,1.0101,4.6.0,0
167,2026-08-11,2330.TW,0.33,0.8351,1,0.5051,2026-08-12T22:30:00.986625+00:00,0.4175,1,0.0875,4.6.0,0
168,2026-08-11,3436.T,0.68,4.5885,1,3.9085,2026-08-12T22:30:01.406515+00:00,0.0287,1,0.6513,4.6.0,0
169,2026-08-11,4063.T,0.3,1.9726,1,1.6726,2026-08-12T22:30:01.833365+00:00,0.7,1,0.4,4.6.0,0
170,2026-08-11,6857.T,0.59,0.8465,1,0.2565,2026-08-12T22:30:02.249845+00:00,-0.5254,0,1.1154,4.6.0,0
171,2026-08-11,8035.T,0.57,2.6079,1,2.0379,2026-08-12T22:30:02.891457+00:00,-0.7048,0,1.2748,4.6.0,0
172,2026-08-11,IFX.DE,0.08,0.3819,1,0.3019,2026-08-13T22:58:55.096228+00:00,2.0684,1,1.9884,4.6.0,0
173,2026-08-12,3436.T,1.73,5.4565,1,3.7265,2026-08-13T23:08:28.405265+00:00,3.7565,1,2.0265,4.6.0,0
174,2026-08-12,4063.T,0.83,-0.4992,0,1.3292,2026-08-13T23:08:28.935258+00:00,0.858,1,0.028,4.6.0,0
175,2026-08-12,8035.T,1.47,2.1295,1,0.6595,2026-08-13T23:08:29.540897+00:00,2.4558,1,0.9858,4.6.0,0
176,2026-08-12,005930.KS,1.28,4.8924,1,3.6124,2026-08-14T22:15:13.119325+00:00,4.6967,1,3.4167,4.6.0,0
177,2026-08-12,IFX.DE,0.12,-0.9352,0,1.0552,2026-08-14T22:15:13.507901+00:00,1.3948,1,1.2748,4.6.0,0
178,2026-08-13,000660.KS,0.46,3.2643,1,2.8043,2026-08-14T22:15:13.922243+00:00,6.403,1,5.943,4.6.0,0
179,2026-08-13,005930.KS,0.35,2.4254,1,2.0754,2026-08-14T22:15:14.309321+00:00,2.6119,1,2.2619,4.6.0,0
180,2026-08-13,2330.TW,0.18,-1.6427,0,1.8227,2026-08-14T22:15:14.711693+00:00,0.0,1,0.18,4.6.0,0
181,2026-08-13,3436.T,0.36,1.9241,1,1.5641,2026-08-14T22:15:15.130255+00:00,4.3162,1,3.9562,4.6.0,0
182,2026-08-13,4063.T,0.16,-0.0941,0,0.2541,2026-08-14T22:15:15.516465+00:00,1.5679,1,1.4079,4.6.0,0
183,2026-08-13,6857.T,0.31,2.5876,1,2.2776,2026-08-14T22:15:15.954368+00:00,6.7056,1,6.3956,4.6.0,0
184,2026-08-13,8035.T,0.3,-0.5717,0,0.8717,2026-08-17T22:55:27.875171+00:00,3.4135,1,3.1135,4.6.0,0
185,2026-08-14,2330.TW,-0.1,0.2088,0,0.3088,2026-08-17T23:13:04.632363+00:00,0.6263,0,0.7263,4.6.0,0
186,2026-08-14,3436.T,-0.22,3.5969,0,3.8169,2026-08-17T23:13:05.014621+00:00,1.6837,0,1.9037,4.6.0,0
187,2026-08-14,4063.T,-0.1,0.204,0,0.304,2026-08-17T23:13:05.413162+00:00,0.2825,0,0.3825,4.6.0,0
188,2026-08-14,6857.T,-0.17,2.4681,0,2.6381,2026-08-17T23:13:05.829978+00:00,0.0814,0,0.2514,4.6.0,0
189,2026-08-14,8035.T,-0.19,1.6235,0,1.8135,2026-08-17T23:13:06.330144+00:00,0.2368,0,0.4268,4.6.0,0
190,2026-08-13,IFX.DE,0.04,-1.232,0,1.272,2026-08-18T22:15:12.985546+00:00,-0.8,0,0.84,4.6.0,0
191,2026-08-14,000660.KS,-0.23,1.0334,0,1.2634,2026-08-18T22:15:13.428534+00:00,5.5319,0,5.7619,4.6.0,0
192,2026-08-14,005930.KS,-0.16,-2.1858,1,2.0258,2026-08-18T22:15:13.871071+00:00,3.0965,0,3.2565,4.6.0,0
193,2026-08-14,IFX.DE,-0.01,0.3888,0,0.3988,2026-08-18T22:15:14.339111+00:00,3.6611,0,3.6711,4.6.0,0
